"","industry_code","industry_title"
"103","C2893000","Herstellung von Maschinen für das Ernährungsgewerbe"
"104","C2894000","Herstellung von Maschinen für das Textilgewerbe"
"105","C2896000","Herstellung von Gummi- und Kunststoffindustriemaschinen"
"106","C2899000","Herstellung sonstiger branchespezifischer Maschinen a.n.g."
"107","C2900000","Herstellung von Kraftwagen und Kraftwagenteilen"
"108","C2910000","Herstellung von Kraftwagen und -motoren"
"109","C2911000","Herstellung von Nutzkraftwagen"
"110","C2912000","Herstellung von Personenkraftwagen einschließlich Kombis"
"111","C2920000","Herstellung von Karosserien  Aufbauten und Anhängern"
"112","C2930000","Herstellung von Teilen und Zubehör für Kraftwagen"
"113","C3000000","Sonstiger Fahrzeugbau"
"114","C3100000","Herstellung von Möbeln"
"115","C3101000","Herstellung von Büro- und Ladenmöbeln"
"116","C3109000","Herstellung von sonstigen Möbel"
"117","C3109040","Herstellung von Polstermöbeln"
"118","C3200000","Herstellung von sonstigen Waren"
"119","C3250000","Herstellung von medizinischen Apparaten und Materialien"
"120","C3250200","Herstellung von medizinmechanischen Erzeugnissen"
"121","C3291000","Herstellung von Besen und Bürsten"
"122","C1070000","Herstellung von Back- und Teigwaren"
"123","C1071000","Herstellung von Backwaren (ohne Dauerbackwaren)"
"124","C1080000","Herstellung von sonstigen Nahrungsmitteln"
"125","C1082000","Herstellung von Süßwaren (einschließlich Dauerbackwaren)"
"126","C1090000","Herstellung von Futtermitteln"
"127","C1100000","Getränkeherstellung"
"128","C1101000","Herstellung von Spirituosen"
"129","C1105000","Herstellung von Bier"
"130","C1107000","Herstellung von Erfrischungsgetränken und Mineralwasser"
"131","C1300000","Herstellung von Textilien"
"132","C1320000","Weberei"
"133","C1321000","Baumwollweberei"
"134","C1330000","Veredlung von Textilien und Bekleidung"
"135","C1390000","Herstellung von sonstigen Textilwaren"
"136","C1392000","Herstellung konfektionierter Textilwaren (ohne Bekleidung)"
"137","C1400000","Herstellung von Bekleidung"
"138","C1410000","Herstellung von Bekleidung (ohne Pelzbekleidung)"
"139","C1413000","Herstellung von sonstiger Oberbekleidung"
"140","C1414000","Herstellung von Wäsche"
"141","C1414100","Herstellung von gewebter Wäsche (ohne Miederwaren)"
"142","C1431000","Herstellung von Strumpfwaren"
"143","C1500000","Herstellung von Leder  Lederwaren und Schuhen"
"144","C1510000","Herstellung von Leder und Lederwaren (ohne Lederbekleidung)"
"145","C1520000","Herstellung von Schuhen"
"146","C1600000","Holz-  Flecht-  Korb- und Korkwarenherstellung (ohne Möbel)"
"147","C1610000","Säge-  Hobel- und Holzimprägnierwerke"
"148","C1620000","Herstellung sonstiger Holz-  Flecht-  Korb- und Korkwaren"
"149","C1621000","Herstellung von Furnier-  Sperrholz- und Holzspanplatten"
"150","C1623000","Herstellung von Fertigbauteilen und Ausbauelementen"
"151","C1624000","Herstellung von Verpackungsmitteln aus Holz"
"152","C1700000","Papiergewerbe"
"153","C1710000","Herstellung von Holz- und Zellstoff  Papier  Karton und Pappe"
"154","C1712000","Herstellung von Papier  Karton und Pappe"
"155","C1712100","Herstellung von Papier"
"156","C1712200","Herstellung von Karton und Pappe"
"157","C1720000","Papier-  Karton- und Pappeverarbeitung"
"158","C1721000","Herstellung von Wellpapier und -pappe  Verpackungsmitteln"
"159","C1723000","Herstellung von Schreibwaren und Bürobedarf aus Papier"
"160","C1800000","Herstellung von Druckerzeugnissen"
"161","C1810000","Herstellung von Druckerzeugnissen"
"162","C1811000","Zeitungsdruck"
"163","C1812000","Drucken a.n.g."
"164","C1813000","Druck und Medienvorstufe"
"165","C1900000","Kokerei und Mineralölverarbeitung"
"166","C2000000","Herstellung von chemischen Erzeugnissen"
"167","C2010000","Herstellung von chemischen Grundstoffen"
"168","C2012000","Herstellung von Farbstoffen und Pigmenten"
"169","C2014000","Herstellung sonstiger organischer Grundstoffe"
"170","C2016000","Herstellung von Kunststoff in Primärformen"
"171","C2030000","Herstellung von Anstrichmitteln  Druckfarben und Kitten"
"172","C2040000","Herstellung von Wasch-  Reinigungs- u. Körperpflegemitteln"
"173","C2050000","Herstellung von sonstigen chemischen Erzeugnissen "
"174","C2100000","Herstellung von pharmazeutischen Erzeugnissen"
"175","C2200000","Herstellung von Gummi- und Kunststoffwaren"
"176","C2210000","Herstellung von Gummiwaren"
"177","C2219000","Herstellung von sonstigen Gummiwaren"
